Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\Pair1_L2R1_10-12.tif_KO,5382,4722,1582,0,54,255,77,255,4,4,0.141,microns
Output\Pair1_L2R1_10-12.tif_WT,4951,4904,1906,0,62,255,90,255,4,4,0.141,microns
Output\Pair1_L2R1_1-3.tif_KO,4700,4389,1361,0,71,255,112,255,4,4,0.141,microns
Output\Pair1_L2R1_1-3.tif_WT,5520,4705,2596,0,68,255,103,255,4,4,0.141,microns
Output\Pair1_L2R1_13-15.tif_KO,4153,4100,1089,0,58,255,69,255,4,4,0.141,microns
Output\Pair1_L2R1_13-15.tif_WT,3948,4907,1521,0,65,255,82,255,4,4,0.141,microns
Output\Pair1_L2R1_4-6.tif_KO,5017,4613,1511,0,64,255,98,255,4,4,0.141,microns
Output\Pair1_L2R1_4-6.tif_WT,4633,4936,1883,0,73,255,108,255,4,4,0.141,microns
Output\Pair1_L2R1_7-9.tif_KO,3996,4635,1208,0,66,255,87,255,4,4,0.141,microns
Output\Pair1_L2R1_7-9.tif_WT,4352,4920,1699,0,71,255,100,255,4,4,0.141,microns
Output\Pair1_L2R2_10-12.tif_KO,5023,4771,1382,0,66,255,71,255,4,4,0.141,microns
Output\Pair1_L2R2_10-12.tif_WT,5186,5221,1698,0,61,255,91,255,4,4,0.141,microns
Output\Pair1_L2R2_1-3.tif_KO,6317,4444,1663,0,77,255,95,255,4,4,0.141,microns
Output\Pair1_L2R2_1-3.tif_WT,5037,5053,2139,0,73,255,94,255,4,4,0.141,microns
Output\Pair1_L2R2_13-15.tif_KO,5099,4412,1247,0,64,255,69,255,4,4,0.141,microns
Output\Pair1_L2R2_13-15.tif_WT,4690,5007,1460,0,62,255,87,255,4,4,0.141,microns
Output\Pair1_L2R2_4-6.tif_KO,5845,4297,1446,0,71,255,89,255,4,4,0.141,microns
Output\Pair1_L2R2_4-6.tif_WT,4777,5164,1851,0,69,255,90,255,4,4,0.141,microns
Output\Pair1_L2R2_7-9.tif_KO,5728,4616,1552,0,65,255,77,255,4,4,0.141,microns
Output\Pair1_L2R2_7-9.tif_WT,4895,5353,1878,0,65,255,89,255,4,4,0.141,microns
Output\Pair1_L2R3_10-12.tif_KO,5392,4524,1394,0,65,255,77,255,4,4,0.141,microns
Output\Pair1_L2R3_10-12.tif_WT,4911,4946,1437,0,74,255,81,255,4,4,0.141,microns
Output\Pair1_L2R3_1-3.tif_KO,6668,5162,2169,0,79,255,102,255,4,4,0.141,microns
Output\Pair1_L2R3_1-3.tif_WT,6629,5079,2302,0,74,255,102,255,4,4,0.141,microns
Output\Pair1_L2R3_13-15.tif_KO,4820,4382,1253,0,65,255,73,255,4,4,0.141,microns
Output\Pair1_L2R3_13-15.tif_WT,5899,4691,1628,0,62,255,77,255,4,4,0.141,microns
Output\Pair1_L2R3_4-6.tif_KO,5712,4708,1636,0,74,255,94,255,4,4,0.141,microns
Output\Pair1_L2R3_4-6.tif_WT,6039,5737,2352,0,75,255,87,255,4,4,0.141,microns
Output\Pair1_L2R3_7-9.tif_KO,5043,4462,1376,0,71,255,86,255,4,4,0.141,microns
Output\Pair1_L2R3_7-9.tif_WT,5939,5394,2116,0,69,255,82,255,4,4,0.141,microns
Output\Pair2_L2R1_10-12.tif_KO,3485,5677,1238,0,53,255,93,255,4,4,0.138,microns
Output\Pair2_L2R1_10-12.tif_WT,3681,6219,1447,0,53,255,86,255,4,4,0.141,microns
Output\Pair2_L2R1_1-3.tif_KO,3484,5947,1228,0,56,255,93,255,4,4,0.138,microns
Output\Pair2_L2R1_1-3.tif_WT,3191,6270,1288,0,57,255,96,255,4,4,0.141,microns
Output\Pair2_L2R1_13-15.tif_KO,3356,6215,1230,0,50,255,94,255,4,4,0.138,microns
Output\Pair2_L2R1_13-15.tif_WT,3568,6354,1407,0,58,255,82,255,4,4,0.141,microns
Output\Pair2_L2R1_4-6.tif_KO,4248,5742,1438,0,48,255,89,255,4,4,0.138,microns
