Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\Pair1_L2R1_10-12.tif_KO,9984,3597,1455,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_10-12.tif_WT,6915,4942,1500,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_1-3.tif_KO,8809,5462,2350,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_1-3.tif_WT,4179,4334,1247,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_13-15.tif_KO,8818,2723,1009,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_13-15.tif_WT,7406,4677,1436,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_4-6.tif_KO,10606,4889,2172,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_4-6.tif_WT,5007,4853,1444,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_7-9.tif_KO,10613,4219,1794,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R1_7-9.tif_WT,6048,5116,1590,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_10-12.tif_KO,10085,3162,1114,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_10-12.tif_WT,8804,5949,1935,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_1-3.tif_KO,6203,4086,928,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_1-3.tif_WT,7550,5466,2004,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_13-15.tif_KO,9938,2760,958,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_13-15.tif_WT,8741,5603,1774,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_4-6.tif_KO,7591,3859,1002,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_4-6.tif_WT,8047,5673,1962,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_7-9.tif_KO,9234,3391,1071,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R2_7-9.tif_WT,8491,5970,2021,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_10-12.tif_KO,11576,3659,1529,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_10-12.tif_WT,9976,5073,1664,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_1-3.tif_KO,7499,5397,1825,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_1-3.tif_WT,7765,6156,1816,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_13-15.tif_KO,11242,3343,1389,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_13-15.tif_WT,10410,4580,1588,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_4-6.tif_KO,9112,4696,1664,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_4-6.tif_WT,8741,5912,1837,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_7-9.tif_KO,10764,4213,1703,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
Output\Pair1_L2R3_7-9.tif_WT,9581,5465,1721,0,0.9,1.00E+30,0.9,1.00E+30,4,4,0.141,microns
