Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\Pair 1_L2R1_10-12.tif_KO,1154,693,58,,,,,,,,,
Output\Pair 1_L2R1_10-12.tif_WT,1447,3333,275,,,,,,,,,
Output\Pair 1_L2R1_1-3.tif_KO,1941,3326,369,,,,,,,,,
Output\Pair 1_L2R1_1-3.tif_WT,2117,4754,574,,,,,,,,,
Output\Pair 1_L2R1_13-15.tif_KO,988,236,27,,,,,,,,,
Output\Pair 1_L2R1_13-15.tif_WT,1242,2672,195,,,,,,,,,
Output\Pair 1_L2R1_4-6.tif_KO,1675,2146,233,,,,,,,,,
Output\Pair 1_L2R1_4-6.tif_WT,1898,4786,499,,,,,,,,,
Output\Pair 1_L2R1_7-9.tif_KO,1331,1225,138,,,,,,,,,
Output\Pair 1_L2R1_7-9.tif_WT,1692,4123,352,,,,,,,,,
Output\Pair 1_L2R2_10-12.tif_KO,1619,450,45,,,,,,,,,
Output\Pair 1_L2R2_10-12.tif_WT,1902,3691,287,,,,,,,,,
Output\Pair 1_L2R2_1-3.tif_KO,3322,1724,248,,,,,,,,,
Output\Pair 1_L2R2_1-3.tif_WT,2777,4700,621,,,,,,,,,
Output\Pair 1_L2R2_13-15.tif_KO,1513,304,31,,,,,,,,,
Output\Pair 1_L2R2_13-15.tif_WT,1726,3064,207,,,,,,,,,
Output\Pair 1_L2R2_4-6.tif_KO,2352,1189,145,,,,,,,,,
Output\Pair 1_L2R2_4-6.tif_WT,2409,4288,435,,,,,,,,,
Output\Pair 1_L2R2_7-9.tif_KO,1838,680,67,,,,,,,,,
Output\Pair 1_L2R2_7-9.tif_WT,2066,4150,339,,,,,,,,,
Output\Pair 1_L2R3_10-12.tif_KO,1734,685,74,,,,,,,,,
Output\Pair 1_L2R3_10-12.tif_WT,2459,1563,203,,,,,,,,,
Output\Pair 1_L2R3_1-3.tif_KO,3776,3107,598,,,,,,,,,
Output\Pair 1_L2R3_1-3.tif_WT,3967,3461,701,,,,,,,,,
Output\Pair 1_L2R3_13-15.tif_KO,1540,451,43,,,,,,,,,
Output\Pair 1_L2R3_13-15.tif_WT,2144,1177,146,,,,,,,,,
Output\Pair 1_L2R3_4-6.tif_KO,2636,1893,272,,,,,,,,,
Output\Pair 1_L2R3_4-6.tif_WT,3424,2901,490,,,,,,,,,
Output\Pair 1_L2R3_7-9.tif_KO,2130,1170,180,,,,,,,,,
Output\Pair 1_L2R3_7-9.tif_WT,2804,2090,311,,,,,,,,,
Output\Pair 2_L2R1_10-12.tif_KO,1073,2526,207,,,,,,,,,
Output\Pair 2_L2R1_10-12.tif_WT,1708,2676,243,,,,,,,,,
Output\Pair 2_L2R1_1-3.tif_KO,1263,2721,230,,,,,,,,,
Output\Pair 2_L2R1_1-3.tif_WT,1645,3846,318,,,,,,,,,
Output\Pair 2_L2R1_13-15.tif_KO,850,3020,166,,,,,,,,,
Output\Pair 2_L2R1_13-15.tif_WT,1864,2471,243,,,,,,,,,
Output\Pair 2_L2R1_4-6.tif_KO,1281,2302,218,,,,,,,,,
Output\Pair 2_L2R1_4-6.tif_WT,1739,3362,323,,,,,,,,,
Output\Pair 2_L2R1_7-9.tif_KO,1221,2146,193,,,,,,,,,
Output\Pair 2_L2R1_7-9.tif_WT,1709,2888,285,,,,,,,,,
Output\Pair 2_L2R2_10-12.tif_KO,677,1820,130,,,,,,,,,
Output\Pair 2_L2R2_10-12.tif_WT,1438,2910,245,,,,,,,,,
Output\Pair 2_L2R2_1-3.tif_KO,832,2768,210,,,,,,,,,
Output\Pair 2_L2R2_1-3.tif_WT,1309,4251,285,,,,,,,,,
Output\Pair 2_L2R2_13-15.tif_KO,567,1798,117,,,,,,,,,
Output\Pair 2_L2R2_13-15.tif_WT,1475,2752,260,,,,,,,,,
Output\Pair 2_L2R2_4-6.tif_KO,769,2012,169,,,,,,,,,
Output\Pair 2_L2R2_4-6.tif_WT,1374,3553,262,,,,,,,,,
Output\Pair 2_L2R2_7-9.tif_KO,724,1868,146,,,,,,,,,
Output\Pair 2_L2R2_7-9.tif_WT,1694,3349,306,,,,,,,,,
Output\Pair 2_L2R3_10-12.tif_KO,815,2038,139,,,,,,,,,
Output\Pair 2_L2R3_10-12.tif_WT,1163,2023,166,,,,,,,,,
Output\Pair 2_L2R3_1-3.tif_KO,907,2662,178,,,,,,,,,
Output\Pair 2_L2R3_1-3.tif_WT,1677,3825,406,,,,,,,,,
Output\Pair 2_L2R3_13-15.tif_KO,782,2055,109,,,,,,,,,
Output\Pair 2_L2R3_13-15.tif_WT,1054,1670,132,,,,,,,,,
Output\Pair 2_L2R3_4-6.tif_KO,888,2244,153,,,,,,,,,
Output\Pair 2_L2R3_4-6.tif_WT,1418,3128,281,,,,,,,,,
Output\Pair 2_L2R3_7-9.tif_KO,819,1984,132,,,,,,,,,
Output\Pair 2_L2R3_7-9.tif_WT,1227,2447,191,,,,,,,,,
Output\Pair 3_L2R1_10-12.tif_KO,1609,610,61,,,,,,,,,
Output\Pair 3_L2R1_1-3.tif_KO,2741,3123,494,,,,,,,,,
Output\Pair 3_L2R1_13-15.tif_KO,1417,479,46,,,,,,,,,
Output\Pair 3_L2R1_4-6.tif_KO,2289,1902,246,,,,,,,,,
Output\Pair 3_L2R1_7-9.tif_KO,1945,1058,109,,,,,,,,,
Output\Pair 3_L2R2_10-12.tif_KO,1356,476,47,,,,,,,,,
Output\Pair 3_L2R2_10-12.tif_WT,2908,3933,622,,,,,,,,,
Output\Pair 3_L2R2_1-3.tif_KO,2338,1958,252,,,,,,,,,
Output\Pair 3_L2R2_1-3.tif_WT,3771,4413,915,,,,,,,,,
Output\Pair 3_L2R2_13-15.tif_KO,1212,255,26,,,,,,,,,
Output\Pair 3_L2R2_13-15.tif_WT,2918,3999,719,,,,,,,,,
Output\Pair 3_L2R2_4-6.tif_KO,1812,910,120,,,,,,,,,
Output\Pair 3_L2R2_4-6.tif_WT,3257,4107,700,,,,,,,,,
Output\Pair 3_L2R2_7-9.tif_KO,1550,546,55,,,,,,,,,
Output\Pair 3_L2R2_7-9.tif_WT,2883,4043,592,,,,,,,,,
Output\Pair 3_L2R3_10-12.tif_KO,1720,927,82,,,,,,,,,
Output\Pair 3_L2R3_1-3.tif_KO,2592,2590,365,,,,,,,,,
Output\Pair 3_L2R3_13-15.tif_KO,1652,727,64,,,,,,,,,
Output\Pair 3_L2R3_4-6.tif_KO,2145,1531,165,,,,,,,,,
Output\Pair 3_L2R3_7-9.tif_KO,1974,1366,150,,,,,,,,,
Output\Pair 3_L2R5_10-12.tif_WT,2299,1749,202,,,,,,,,,
Output\Pair 3_L2R5_1-3.tif_WT,3695,4386,807,,,,,,,,,
Output\Pair 3_L2R5_13-15.tif_WT,1898,1124,125,,,,,,,,,
Output\Pair 3_L2R5_4-6.tif_WT,3327,3352,513,,,,,,,,,
Output\Pair 3_L2R5_7-9.tif_WT,2747,2210,322,,,,,,,,,
Output\Pair 3_L2R6_10-12.tif_WT,1910,2176,249,,,,,,,,,
Output\Pair 3_L2R6_1-3.tif_WT,3151,5151,1013,,,,,,,,,
Output\Pair 3_L2R6_13-15.tif_WT,1636,1475,145,,,,,,,,,
Output\Pair 3_L2R6_4-6.tif_WT,2480,4044,570,,,,,,,,,
Output\Pair 3_L2R6_7-9.tif_WT,2077,3002,374,,,,,,,,,
