Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair1_L2R1_10-12_binary_KO,,,481,,,,,,,,,
Pair1_L2R1_1-3_binary_KO,,,2841,,,,,,,,,
Pair1_L2R1_13-15_binary_KO,,,128,,,,,,,,,
Pair1_L2R1_4-6_binary_KO,,,1976,,,,,,,,,
Pair1_L2R1_7-9_binary_KO,,,1012,,,,,,,,,
Pair1_L2R2_10-12_binary_KO,,,268,,,,,,,,,
Pair1_L2R2_1-3_binary_KO,,,1555,,,,,,,,,
Pair1_L2R2_13-15_binary_KO,,,167,,,,,,,,,
Pair1_L2R2_4-6_binary_KO,,,1036,,,,,,,,,
Pair1_L2R2_7-9_binary_KO,,,454,,,,,,,,,
Pair1_L2R3_10-12_binary_KO,,,408,,,,,,,,,
Pair1_L2R3_1-3_binary_KO,,,2523,,,,,,,,,
Pair1_L2R3_13-15_binary_KO,,,237,,,,,,,,,
Pair1_L2R3_4-6_binary_KO,,,1466,,,,,,,,,
Pair1_L2R3_7-9_binary_KO,,,769,,,,,,,,,
Pair2_L2R1_10-12_binary_KO,,,1660,,,,,,,,,
Pair2_L2R1_1-3_binary_KO,,,1761,,,,,,,,,
Pair2_L2R1_13-15_binary_KO,,,2193,,,,,,,,,
Pair2_L2R1_4-6_binary_KO,,,1397,,,,,,,,,
Pair2_L2R1_7-9_binary_KO,,,1263,,,,,,,,,
Pair2_L2R2_10-12_binary_KO,,,606,,,,,,,,,
Pair2_L2R2_1-3_binary_KO,,,1307,,,,,,,,,
Pair2_L2R2_13-15_binary_KO,,,617,,,,,,,,,
Pair2_L2R2_4-6_binary_KO,,,787,,,,,,,,,
Pair2_L2R2_7-9_binary_KO,,,676,,,,,,,,,
Pair2_L2R3_10-12_binary_KO,,,741,,,,,,,,,
Pair2_L2R3_1-3_binary_KO,,,1218,,,,,,,,,
Pair2_L2R3_13-15_binary_KO,,,805,,,,,,,,,
Pair2_L2R3_4-6_binary_KO,,,881,,,,,,,,,
Pair2_L2R3_7-9_binary_KO,,,738,,,,,,,,,
Pair3_L2R1_10-12_binary_KO,,,616,,,,,,,,,
Pair3_L2R1_1-3_binary_KO,,,2718,,,,,,,,,
Pair3_L2R1_13-15_binary_KO,,,319,,,,,,,,,
Pair3_L2R1_4-6_binary_KO,,,1973,,,,,,,,,
Pair3_L2R1_7-9_binary_KO,,,1160,,,,,,,,,
Pair3_L2R2_10-12_binary_KO,,,130,,,,,,,,,
Pair3_L2R2_1-3_binary_KO,,,1714,,,,,,,,,
Pair3_L2R2_13-15_binary_KO,,,71,,,,,,,,,
Pair3_L2R2_4-6_binary_KO,,,680,,,,,,,,,
Pair3_L2R2_7-9_binary_KO,,,332,,,,,,,,,
Pair3_L2R3_10-12_binary_KO,,,457,,,,,,,,,
Pair3_L2R3_1-3_binary_KO,,,1964,,,,,,,,,
Pair3_L2R3_13-15_binary_KO,,,338,,,,,,,,,
Pair3_L2R3_4-6_binary_KO,,,1255,,,,,,,,,
Pair3_L2R3_7-9_binary_KO,,,753,,,,,,,,,
Pair1_L2R1_10-12_binary_WT,,,2088,,,,,,,,,
Pair1_L2R1_1-3_binary_WT,,,2094,,,,,,,,,
Pair1_L2R1_13-15_binary_WT,,,1797,,,,,,,,,
Pair1_L2R1_4-6_binary_WT,,,2388,,,,,,,,,
Pair1_L2R1_7-9_binary_WT,,,2448,,,,,,,,,
Pair1_L2R2_10-12_binary_WT,,,2416,,,,,,,,,
Pair1_L2R2_1-3_binary_WT,,,2560,,,,,,,,,
