Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair1_L2R1_10-12_binary_KO,3079,3735,941,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_KO,4192,5395,1582,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_KO,2759,2513,664,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_KO,3844,4646,1301,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_KO,3440,3894,1068,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_KO,3805,2969,879,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_KO,5337,4492,1552,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_KO,3627,2116,657,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_KO,4629,4103,1337,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_KO,4492,3441,1146,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_KO,4026,3436,1082,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_KO,5935,5283,1984,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_KO,3734,2790,841,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_KO,5021,4364,1592,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_KO,4455,3961,1354,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_KO,2565,6415,1192,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_1-3_binary_KO,2698,6739,1198,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_13-15_binary_KO,2152,6696,950,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_4-6_binary_KO,2743,6208,1141,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_7-9_binary_KO,2690,6353,1224,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_10-12_binary_KO,2061,5942,991,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_KO,2228,6696,1104,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_13-15_binary_KO,1804,6032,896,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_4-6_binary_KO,2151,6111,1042,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_7-9_binary_KO,2099,5982,1003,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_10-12_binary_KO,1690,5547,719,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_1-3_binary_KO,1824,6094,777,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_13-15_binary_KO,1591,5664,689,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_4-6_binary_KO,1816,5865,742,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_7-9_binary_KO,1822,5704,765,0,0,0,0,0,4,4,0.138,microns
Pair3_L2R1_10-12_binary_KO,3981,3476,1058,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_1-3_binary_KO,5325,5309,1994,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_13-15_binary_KO,3524,2622,764,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_4-6_binary_KO,4779,4838,1671,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R1_7-9_binary_KO,4463,3781,1219,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_10-12_binary_KO,3453,2547,770,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_1-3_binary_KO,4823,4658,1576,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_13-15_binary_KO,3196,1909,568,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_4-6_binary_KO,4188,3693,1177,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_7-9_binary_KO,3790,3101,904,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_10-12_binary_KO,3050,3076,676,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_1-3_binary_KO,3771,4653,1184,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_13-15_binary_KO,3039,2666,588,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_4-6_binary_KO,3616,3795,1006,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R3_7-9_binary_KO,3367,3524,888,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_10-12_binary_WT,3501,5091,1085,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_WT,4146,5636,1417,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_WT,3174,4817,1040,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_WT,3840,5821,1391,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_WT,3639,5660,1263,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_WT,3478,5388,980,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_WT,4327,5770,1365,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_WT,3249,4971,866,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_WT,3893,5641,1160,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_WT,3745,5632,1132,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_WT,4736,4305,1370,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_WT,5756,5500,1909,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_WT,4294,3973,1078,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_WT,5458,5237,1693,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_WT,5065,4752,1534,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_WT,2793,6192,1071,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_1-3_binary_WT,2590,6585,998,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_13-15_binary_WT,3012,5968,1104,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_4-6_binary_WT,2742,6401,1070,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_7-9_binary_WT,2762,6249,1052,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R2_10-12_binary_WT,2707,6314,1102,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_WT,2450,6853,1038,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_13-15_binary_WT,2781,6201,1154,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_4-6_binary_WT,2615,6682,1152,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_7-9_binary_WT,3220,6548,1278,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_10-12_binary_WT,2743,7070,1278,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_1-3_binary_WT,3329,7955,1686,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_13-15_binary_WT,2653,6794,1258,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_4-6_binary_WT,3017,7636,1475,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_7-9_binary_WT,2863,7281,1393,0,0,0,0,0,4,4,0.138,microns
Pair3_L2R2_10-12_binary_WT,4937,4317,1356,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_1-3_binary_WT,5820,4461,1599,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_13-15_binary_WT,4848,4186,1293,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_4-6_binary_WT,5248,4290,1398,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_7-9_binary_WT,5077,4242,1345,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_10-12_binary_WT,5257,5239,1637,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_1-3_binary_WT,6419,6839,2369,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_13-15_binary_WT,4795,4523,1364,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_4-6_binary_WT,6211,6538,2266,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_7-9_binary_WT,5808,5976,2004,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_10-12_binary_WT,3959,5699,1539,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_1-3_binary_WT,5221,6525,2150,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_13-15_binary_WT,3583,5192,1326,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_4-6_binary_WT,4730,6303,1900,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_7-9_binary_WT,4404,6110,1735,0,0,0,0,0,4,4,0.141,microns
