Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair1_L2R1_10-12_binary_KO,3295,1971,610,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_1-3_binary_KO,3291,1264,430,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_13-15_binary_KO,3227,1991,628,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_4-6_binary_KO,3385,1230,436,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R1_7-9_binary_KO,3344,1400,471,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_10-12_binary_KO,3236,1966,522,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_1-3_binary_KO,3106,1630,442,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_13-15_binary_KO,3114,1608,467,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_4-6_binary_KO,3175,1711,471,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R2_7-9_binary_KO,3555,1881,583,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_10-12_binary_KO,3297,1785,513,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_1-3_binary_KO,3299,1431,459,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_13-15_binary_KO,3229,1691,514,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_4-6_binary_KO,3404,1414,429,0,0,0,0,0,4,4,0.141,microns
Pair1_L2R3_7-9_binary_KO,3342,1602,512,0,0,0,0,0,4,4,0.141,microns
Pair2_L2R1_10-12_binary_KO,3016,2852,771,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_1-3_binary_KO,2872,2987,687,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_13-15_binary_KO,2906,2692,643,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_4-6_binary_KO,2964,2962,762,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R1_7-9_binary_KO,2988,2998,744,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_10-12_binary_KO,3103,3590,963,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_1-3_binary_KO,3056,3445,883,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_13-15_binary_KO,3145,3642,1074,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R2_4-6_binary_KO,3006,3453,930,0,0,0,0,0,4,4,0.138,microns
