Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-1.tif,501,469,9,0,62,255,94,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-2.tif,551,1002,27,0,68,255,85,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-3.tif,748,1726,74,0,68,255,82,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-1.tif,229,172,3,0,71,255,76,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-2.tif,407,911,27,0,68,255,64,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-3.tif,459,849,21,0,71,255,76,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-1.tif,480,263,17,0,55,255,58,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-2.tif,954,540,45,0,49,255,55,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-3.tif,648,569,35,0,61,255,62,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-1.tif,727,1587,55,0,67,255,62,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-2.tif,833,1638,81,0,71,255,70,255,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-3.tif,1294,1172,80,0,68,255,97,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-1.tif,1182,463,44,0,73,255,47,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-2.tif,1650,385,46,0,71,255,56,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-3.tif,1360,273,29,0,79,255,67,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-1.tif,901,176,18,0,67,255,59,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-2.tif,1150,377,42,0,67,255,49,255,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-3.tif,1563,351,61,0,64,255,53,255,4,4,0.125,microns
Output\8-5-6-KO-MCPTS-GluA2-VGlut1_lif - CONTRA-B-1.tif,562,821,77,0,56,255,43,255,4,4,0.125,microns
