Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-1.tif,150,347,4,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-2.tif,264,554,10,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-3.tif,380,941,26,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-1.tif,168,226,4,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-2.tif,244,268,10,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-3.tif,324,499,11,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-1.tif,187,96,9,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-2.tif,273,177,9,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-3.tif,326,257,15,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-1.tif,309,446,8,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-2.tif,396,696,14,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-3.tif,395,901,20,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-1.tif,729,83,13,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-2.tif,905,123,18,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-3.tif,1011,153,22,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-1.tif,484,94,11,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-2.tif,603,92,12,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-3.tif,713,98,18,0,0,0,0,0,4,4,0.125,microns
Output\8-5-6-KO-MCPTS-GluA2-VGlut1_lif - CONTRA-B-1.tif,216,194,17,0,0,0,0,0,4,4,0.125,microns
Output\8-5-6-KO-MCPTS-GluA2-VGlut1_lif - CONTRA-B-2.tif,294,276,27,0,0,0,0,0,4,4,0.125,microns
Output\8-5-6-KO-MCPTS-GluA2-VGlut1_lif - CONTRA-B-3.tif,345,303,34,0,0,0,0,0,4,4,0.125,microns
