Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-1.tif,309,942,21,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-2.tif,486,1417,49,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-3.tif,684,2086,82,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-1.tif,304,840,32,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-2.tif,396,923,32,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-3.tif,522,1459,39,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-1.tif,285,324,17,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-2.tif,407,577,39,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-3.tif,513,864,56,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-1.tif,588,1102,51,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-2.tif,779,1601,77,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-3.tif,749,1983,76,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-1.tif,1126,188,29,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-2.tif,1402,295,45,0,0,0,0,0,4,4,0.125,microns
