Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-1.tif,532,942,35,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-2.tif,805,1417,72,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - CONTRA-C-3.tif,1039,2086,120,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-1.tif,474,840,45,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-2.tif,636,923,46,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-A-3.tif,794,1459,72,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-1.tif,403,324,21,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-2.tif,571,577,47,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-B-3.tif,719,864,74,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-1.tif,987,1102,79,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-2.tif,1246,1601,118,0,0,0,0,0,4,4,0.125,microns
Output\8-5-4-WT-WTSHAM-GLUA2-VGLUT1_lif - IPSI-C-3.tif,1260,1983,135,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-1.tif,1613,188,27,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-2.tif,1895,295,51,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - CONTRA-C-3.tif,2113,398,74,0,0,0,0,0,4,4,0.125,microns
Output\8-5-5-WT-MCSham-Glua2-Vglut1_lif - IPSI-C-1.tif,1071,214,28,0,0,0,0,0,4,4,0.125,microns
