Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 1.tif,207,141,51,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 10.tif,74,99,21,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 11.tif,212,191,50,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 12.tif,96,71,16,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 13.tif,58,48,18,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14.tif,21,9,1,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14_0001.tif,154,88,15,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 15.tif,90,70,17,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 16.tif,200,82,26,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 17.tif,158,100,31,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 18.tif,121,97,39,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 19.tif,99,56,19,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 2.tif,191,155,41,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 20.tif,255,132,46,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 3.tif,147,113,20,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 4.tif,220,171,68,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 5.tif,134,97,31,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 6.tif,187,124,36,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 7_0001.tif,200,70,33,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 8.tif,237,122,37,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 9.tif,129,110,28,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 1.tif,58,70,11,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 10.tif,324,373,100,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 11.tif,340,200,101,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 12.tif,195,110,53,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 13.tif,169,94,29,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 14.tif,279,171,76,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 15.tif,89,112,9,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 16.tif,221,203,78,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 17.tif,279,137,62,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 18.tif,154,150,52,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 19.tif,428,198,100,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 2.tif,161,204,51,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 20.tif,268,163,56,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 21.tif,487,197,111,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 3.tif,187,154,39,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 4.tif,103,110,16,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 5.tif,26,63,5,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 6.tif,179,172,65,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 7.tif,213,116,48,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 8.tif,297,138,53,0,125,255,60,255,10,10,264.55,microns
Z_projections\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 9.tif,199,157,31,0,125,255,60,255,10,10,264.55,microns
