Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Control_image_1,184,155,52,,125,255,60,255,10,10,,
Control_image_10,72,100,22,,125,255,60,255,10,10,,
Control_image_11,214,201,55,,125,255,60,255,10,10,,
Control_image_12,92,73,18,,125,255,60,255,10,10,,
Control_image_13,60,47,19,,125,255,60,255,10,10,,
Control_image_14,22,9,2,,125,255,60,255,10,10,,
Control_image_15,135,91,17,,125,255,60,255,10,10,,
Control_image_16,82,69,18,,125,255,60,255,10,10,,
Control_image_17,193,80,29,,125,255,60,255,10,10,,
Control_image_18,157,103,32,,125,255,60,255,10,10,,
Control_image_19,126,103,43,,125,255,60,255,10,10,,
Control_image_2,194,165,48,,125,255,60,255,10,10,,
Control_image_20,100,56,21,,125,255,60,255,10,10,,
Control_image_21,243,136,52,,125,255,60,255,10,10,,
Control_image_3,136,112,17,,125,255,60,255,10,10,,
Control_image_4,224,177,76,,125,255,60,255,10,10,,
Control_image_5,138,102,36,,125,255,60,255,10,10,,
Control_image_6,198,122,40,,125,255,60,255,10,10,,
Control_image_7,180,72,37,,125,255,60,255,10,10,,
Control_image_8,251,123,42,,125,255,60,255,10,10,,
Control_image_9,133,113,31,,125,255,60,255,10,10,,
Cx ACM_image_1,322,164,80,,125,255,60,255,10,10,,
Cx ACM_image_10,200,160,32,,125,255,60,255,10,10,,
Cx ACM_image_11,329,381,104,,125,255,60,255,10,10,,
Cx ACM_image_12,410,213,100,,125,255,60,255,10,10,,
Cx ACM_image_13,192,113,54,,125,255,60,255,10,10,,
Cx ACM_image_14,174,94,31,,125,255,60,255,10,10,,
Cx ACM_image_15,297,175,83,,125,255,60,255,10,10,,
Cx ACM_image_16,86,111,11,,125,255,60,255,10,10,,
Cx ACM_image_17,191,208,79,,125,255,60,255,10,10,,
Cx ACM_image_18,278,144,65,,125,255,60,255,10,10,,
Cx ACM_image_19,149,155,57,,125,255,60,255,10,10,,
Cx ACM_image_2,59,73,12,,125,255,60,255,10,10,,
Cx ACM_image_20,396,204,102,,125,255,60,255,10,10,,
Cx ACM_image_21,231,171,58,,125,255,60,255,10,10,,
Cx ACM_image_3,140,200,47,,125,255,60,255,10,10,,
Cx ACM_image_4,184,154,37,,125,255,60,255,10,10,,
Cx ACM_image_5,97,117,18,,125,255,60,255,10,10,,
Cx ACM_image_6,26,64,7,,125,255,60,255,10,10,,
Cx ACM_image_7,204,170,68,,125,255,60,255,10,10,,
Cx ACM_image_8,202,128,52,,125,255,60,255,10,10,,
Cx ACM_image_9,268,136,50,,125,255,60,255,10,10,,
