Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 1_binary,,,139,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 10_binary,,,62,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 11_binary,,,160,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 12_binary,,,99,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 13_binary,,,54,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14_binary,,,9,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14_0001_binary,,,108,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 15_binary,,,53,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 16_binary,,,84,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 17_binary,,,104,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 18_binary,,,89,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 19_binary,,,64,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 2_binary,,,139,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 20_binary,,,155,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 3_binary,,,117,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 4_binary,,,220,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 5_binary,,,101,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 6_binary,,,122,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 7_0001_binary,,,75,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 8_binary,,,130,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 9_binary,,,102,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 1_binary,,,94,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 10_binary,,,453,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 11_binary,,,230,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 12_binary,,,118,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 13_binary,,,93,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 14_binary,,,218,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 15_binary,,,101,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 16_binary,,,252,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 17_binary,,,116,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 18_binary,,,198,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 19_binary,,,326,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 2_binary,,,182,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 20_binary,,,211,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 21_binary,,,318,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 3_binary,,,155,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 4_binary,,,97,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 5_binary,,,49,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 6_binary,,,156,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 7_binary,,,184,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 8_binary,,,140,,,,,,,,,
2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Cx ACM - 9_binary,,,190,,,,,,,,,
