Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 1.tif,1694,1084,393,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 10.tif,806,715,175,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 11.tif,1478,1414,375,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 12.tif,1183,808,227,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 13.tif,1264,521,194,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14.tif,635,340,97,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14_0001.tif,1232,700,233,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 15.tif,1085,608,175,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 16.tif,1511,748,252,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 17.tif,1645,777,258,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 18.tif,1434,876,311,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 19.tif,897,718,225,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 2.tif,1788,1162,424,0,0,0,0,0,4,4,264.550,microns
