Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 1.tif,334,197,73,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 10.tif,182,163,43,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 11.tif,363,308,86,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 12.tif,265,138,38,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 13.tif,268,97,43,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14.tif,160,54,23,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 14_0001.tif,281,128,40,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 15.tif,272,137,38,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 16.tif,378,133,41,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 17.tif,395,130,53,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 18.tif,286,175,72,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 19.tif,228,131,53,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 2.tif,419,280,99,0,0,0,0,0,4,4,264.550,microns
Output\2019-6-6 Bassoon488 - Homer564 - VGLU1647 - Control - 20.tif,289,212,59,0,0,0,0,0,4,4,264.550,microns
