Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\2019April4 - Cx ACM - 10a.tif,819,1128,327,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 11a.tif,889,1159,407,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 12a.tif,809,1120,387,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 13a.tif,815,1013,354,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 14a.tif,738,1292,406,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 15a.tif,660,1103,306,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 16a.tif,908,1108,365,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 17a.tif,728,1241,354,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 18a.tif,824,1354,393,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 19a.tif,614,973,278,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 1a.tif,818,1147,343,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 20a.tif,647,1072,272,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 21a.tif,507,808,234,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 2a.tif,638,939,254,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 3a.tif,753,978,314,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 4a.tif,750,825,277,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 5a.tif,743,910,305,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 6a.tif,823,1060,337,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 7a.tif,821,910,260,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 8a.tif,595,774,201,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - Cx ACM - 9a.tif,609,828,203,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 10a.tif,617,551,159,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 11a.tif,713,1042,334,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 12a.tif,717,749,220,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 13a.tif,723,593,172,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 14a.tif,517,762,172,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 15a.tif,537,575,119,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 16a.tif,658,806,197,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 17a.tif,549,733,156,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 18a.tif,619,762,195,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 19a.tif,571,763,192,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 1a.tif,511,390,110,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 20a.tif,805,796,238,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 2a.tif,711,774,202,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 3a.tif,809,737,233,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 4a.tif,450,482,90,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 5a.tif,580,803,215,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 6a.tif,601,668,210,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 7a.tif,715,641,216,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 8a.tif,439,454,155,0,255,255,255,255,4,4,264.550,microns
Output\2019April4 - No ACM - 9a.tif,699,934,234,0,255,255,255,255,4,4,264.550,microns
