Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Z_projections\2019April4 - Cx ACM - 10a.tif,300,234,48,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 11a.tif,463,324,113,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 12a.tif,347,296,89,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 13a.tif,417,293,94,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 14a.tif,310,260,72,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 15a.tif,303,231,58,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 16a.tif,358,302,93,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 17a.tif,328,333,64,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 18a.tif,313,385,95,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 19a.tif,212,233,61,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 1a.tif,300,325,84,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 20a.tif,216,304,62,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 21a.tif,150,259,48,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 2a.tif,206,196,39,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 3a.tif,405,203,83,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 4a.tif,287,179,49,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 5a.tif,275,225,56,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 6a.tif,350,221,55,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 7a.tif,361,222,65,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 8a.tif,211,168,28,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 9a.tif,246,137,25,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 10a.tif,289,96,30,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 11a.tif,273,124,40,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 12a.tif,255,149,42,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 13a.tif,291,102,12,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 14a.tif,163,81,12,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 15a.tif,191,76,15,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 16a.tif,218,185,35,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 17a.tif,191,90,17,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 18a.tif,248,154,31,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 19a.tif,266,84,23,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 1a.tif,200,71,25,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 20a.tif,432,177,43,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 2a.tif,346,106,18,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 3a.tif,374,139,47,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 4a.tif,95,85,2,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 5a.tif,253,148,44,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 6a.tif,258,107,26,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 7a.tif,405,92,25,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 8a.tif,214,81,41,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 9a.tif,257,170,39,0,90,255,90,255,10,10,264.55,microns
