Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Z_projections\2019April4 - Cx ACM - 10a.tif,401,196,52,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 11a.tif,433,273,87,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 12a.tif,420,267,93,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 13a.tif,514,272,89,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 14a.tif,402,266,72,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 15a.tif,376,223,60,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 16a.tif,343,215,71,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 17a.tif,410,343,78,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 18a.tif,401,359,92,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 19a.tif,225,213,43,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 1a.tif,364,229,64,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 20a.tif,222,245,63,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 21a.tif,134,141,34,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 2a.tif,212,159,36,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 3a.tif,489,168,81,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 4a.tif,336,145,39,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 5a.tif,319,204,66,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 6a.tif,418,198,43,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 7a.tif,412,168,46,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 8a.tif,237,134,16,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - Cx ACM - 9a.tif,297,136,25,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 10a.tif,370,82,31,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 11a.tif,361,151,49,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 12a.tif,300,95,33,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 13a.tif,325,85,16,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 14a.tif,216,67,13,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 15a.tif,198,61,13,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 16a.tif,215,155,34,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 17a.tif,161,78,12,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 18a.tif,276,128,35,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 19a.tif,258,81,21,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 1a.tif,158,32,13,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 20a.tif,459,130,30,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 2a.tif,388,98,23,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 3a.tif,388,115,34,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 4a.tif,35,76,2,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 5a.tif,289,128,46,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 6a.tif,311,94,23,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 7a.tif,468,66,20,0,90,255,90,255,10,10,264.55,microns
Z_projections\2019April4 - No ACM - 8a.tif,202,58,24,0,90,255,90,255,10,10,264.55,microns
