Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
2019April4 - Cx ACM - 10_oir_corrected-1_binary,,,492,,,,,,,,,
2019April4 - Cx ACM - 11_oir_corrected-1_binary,,,621,,,,,,,,,
2019April4 - Cx ACM - 12_oir_corrected-1_binary,,,578,,,,,,,,,
2019April4 - Cx ACM - 13_oir_corrected-1_binary,,,517,,,,,,,,,
2019April4 - Cx ACM - 14_oir_corrected-1_binary,,,515,,,,,,,,,
2019April4 - Cx ACM - 15_oir_corrected-1_binary,,,541,,,,,,,,,
2019April4 - Cx ACM - 16_oir_corrected-1_binary,,,585,,,,,,,,,
2019April4 - Cx ACM - 17_oir_corrected-1_binary,,,574,,,,,,,,,
2019April4 - Cx ACM - 18_oir_corrected-1_binary,,,909,,,,,,,,,
2019April4 - Cx ACM - 19_oir_corrected-1_binary,,,413,,,,,,,,,
2019April4 - Cx ACM - 1_oir_corrected-1_binary,,,620,,,,,,,,,
2019April4 - Cx ACM - 20_oir_corrected-1_binary,,,668,,,,,,,,,
2019April4 - Cx ACM - 21_oir_corrected-1_binary,,,303,,,,,,,,,
2019April4 - Cx ACM - 2_oir_corrected-1_binary,,,381,,,,,,,,,
2019April4 - Cx ACM - 3_oir_corrected-1_binary,,,386,,,,,,,,,
2019April4 - Cx ACM - 4_oir_corrected-1_binary,,,415,,,,,,,,,
2019April4 - Cx ACM - 5_oir_corrected-1_binary,,,454,,,,,,,,,
2019April4 - Cx ACM - 6_oir_corrected-1_binary,,,478,,,,,,,,,
2019April4 - Cx ACM - 7_oir_corrected-1_binary,,,421,,,,,,,,,
2019April4 - Cx ACM - 8_oir_corrected-1_binary,,,409,,,,,,,,,
2019April4 - Cx ACM - 9_oir_corrected-1_binary,,,289,,,,,,,,,
2019April4 - No ACM - 10_oir_corrected-1_binary,,,199,,,,,,,,,
2019April4 - No ACM - 11_oir_corrected-1_binary,,,253,,,,,,,,,
2019April4 - No ACM - 12_oir_corrected-1_binary,,,291,,,,,,,,,
2019April4 - No ACM - 13_oir_corrected-1_binary,,,249,,,,,,,,,
2019April4 - No ACM - 14_oir_corrected-1_binary,,,138,,,,,,,,,
2019April4 - No ACM - 15_oir_corrected-1_binary,,,143,,,,,,,,,
2019April4 - No ACM - 16_oir_corrected-1_binary,,,387,,,,,,,,,
2019April4 - No ACM - 17_oir_corrected-1_binary,,,236,,,,,,,,,
2019April4 - No ACM - 18_oir_corrected-1_binary,,,258,,,,,,,,,
2019April4 - No ACM - 19_oir_corrected-1_binary,,,227,,,,,,,,,
2019April4 - No ACM - 1_oir_corrected-1_binary,,,121,,,,,,,,,
2019April4 - No ACM - 20_oir_corrected-1_binary,,,366,,,,,,,,,
2019April4 - No ACM - 2_oir_corrected-1_binary,,,267,,,,,,,,,
2019April4 - No ACM - 3_oir_corrected-1_binary,,,276,,,,,,,,,
2019April4 - No ACM - 4_oir_corrected-1_binary,,,207,,,,,,,,,
2019April4 - No ACM - 5_oir_corrected-1_binary,,,224,,,,,,,,,
2019April4 - No ACM - 6_oir_corrected-1_binary,,,145,,,,,,,,,
2019April4 - No ACM - 7_oir_corrected-1_binary,,,226,,,,,,,,,
2019April4 - No ACM - 8_oir_corrected-1_binary,,,83,,,,,,,,,
