Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\2019April4 - Cx ACM - 1_oir_corrected-1.tif,4004,3290,1217,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 10_oir_corrected-1.tif,4007,3432,1186,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 11_oir_corrected-1.tif,3768,3056,1050,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 12_oir_corrected-1.tif,4093,3316,1361,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 13_oir_corrected-1.tif,4118,3068,1178,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 14_oir_corrected-1.tif,4275,3187,1287,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 15_oir_corrected-1.tif,4216,3057,1256,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 16_oir_corrected-1.tif,3601,3053,1122,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 17_oir_corrected-1.tif,3855,3074,1093,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 18_oir_corrected-1.tif,3366,3223,1057,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 19_oir_corrected-1.tif,4134,2982,1259,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 2_oir_corrected-1.tif,4216,3033,1190,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 20_oir_corrected-1.tif,4321,3287,1299,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 21_oir_corrected-1.tif,3077,2272,1101,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 3_oir_corrected-1.tif,4132,3268,1177,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 4_oir_corrected-1.tif,4263,2923,1181,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 5_oir_corrected-1.tif,4022,3021,1131,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 6_oir_corrected-1.tif,4561,3166,1234,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 7_oir_corrected-1.tif,4139,3199,1148,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 8_oir_corrected-1.tif,3808,3160,1153,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - Cx ACM - 9_oir_corrected-1.tif,3781,2930,1114,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 1_oir_corrected-1.tif,3057,2001,820,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 10_oir_corrected-1.tif,4192,2738,1105,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 11_oir_corrected-1.tif,4314,2922,1169,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 12_oir_corrected-1.tif,4284,3336,1280,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 13_oir_corrected-1.tif,4294,2864,1109,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 14_oir_corrected-1.tif,3917,2584,998,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 15_oir_corrected-1.tif,3641,2502,923,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 16_oir_corrected-1.tif,4316,2894,1066,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 17_oir_corrected-1.tif,4164,2768,1085,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 18_oir_corrected-1.tif,3979,2907,996,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 19_oir_corrected-1.tif,3663,2655,942,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 2_oir_corrected-1.tif,3818,2700,1034,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 20_oir_corrected-1.tif,4075,2990,951,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 3_oir_corrected-1.tif,4091,2872,1083,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 4_oir_corrected-1.tif,3122,3107,1047,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 5_oir_corrected-1.tif,3478,2538,989,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 6_oir_corrected-1.tif,3696,2487,1086,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 7_oir_corrected-1.tif,3947,2757,930,0,0,0,0,0,4,4,1,pixels
Output\2019April4 - No ACM - 8_oir_corrected-1.tif,2570,1681,700,0,0,0,0,0,4,4,1,pixels
