"","image","true_pos_count","false_pos_count","false_neg_count","true_neg_count","recall","precision","noise_level","image_id"
"1","group/Output/KO_Pair1_L2R1_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",1
"2","group/Output/KO_Pair1_L2R1_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",2
"3","group/Output/KO_Pair1_L2R1_1-3_0_50_colocResults_0.csv",331,0,2,0,0.993993993993994,1,"0.50",3
"4","group/Output/KO_Pair1_L2R1_1-3_0_75_colocResults_0.csv",308,10,25,0,0.924924924924925,0.968553459119497,"0.75",4
"5","group/Output/KO_Pair1_L2R1_1-3_1_00_colocResults_0.csv",215,67,118,0,0.645645645645646,0.762411347517731,"1.00",5
"6","group/Output/KO_Pair1_L2R2_1-3_0_00_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.00",6
"7","group/Output/KO_Pair1_L2R2_1-3_0_25_colocResults_0.csv",237,1,96,0,0.711711711711712,0.995798319327731,"0.25",7
"8","group/Output/KO_Pair1_L2R2_1-3_0_50_colocResults_0.csv",189,0,144,0,0.567567567567568,1,"0.50",8
"9","group/Output/KO_Pair1_L2R2_1-3_0_75_colocResults_0.csv",184,14,149,0,0.552552552552553,0.929292929292929,"0.75",9
"10","group/Output/KO_Pair1_L2R2_1-3_1_00_colocResults_0.csv",200,452,133,0,0.600600600600601,0.306748466257669,"1.00",10
"11","group/Output/KO_Pair1_L2R3_1-3_0_00_colocResults_0.csv",200,132,133,0,0.600600600600601,0.602409638554217,"0.00",11
"12","group/Output/KO_Pair1_L2R3_1-3_0_25_colocResults_0.csv",272,59,61,0,0.816816816816817,0.821752265861027,"0.25",12
"13","group/Output/KO_Pair1_L2R3_1-3_0_50_colocResults_0.csv",248,65,85,0,0.744744744744745,0.792332268370607,"0.50",13
"14","group/Output/KO_Pair1_L2R3_1-3_0_75_colocResults_0.csv",224,106,109,0,0.672672672672673,0.678787878787879,"0.75",14
"15","group/Output/KO_Pair1_L2R3_1-3_1_00_colocResults_0.csv",141,163,192,0,0.423423423423423,0.463815789473684,"1.00",15
"16","group/Output/KO_Pair2_L2R1_1-3_0_00_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.00",16
"17","group/Output/KO_Pair2_L2R1_1-3_0_25_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.25",17
"18","group/Output/KO_Pair2_L2R1_1-3_0_50_colocResults_0.csv",267,0,66,0,0.801801801801802,1,"0.50",18
"19","group/Output/KO_Pair2_L2R1_1-3_0_75_colocResults_0.csv",269,0,64,0,0.807807807807808,1,"0.75",19
"20","group/Output/KO_Pair2_L2R1_1-3_1_00_colocResults_0.csv",277,24,56,0,0.831831831831832,0.920265780730897,"1.00",20
"21","group/Output/KO_Pair2_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",21
"22","group/Output/KO_Pair2_L2R2_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",22
"23","group/Output/KO_Pair2_L2R2_1-3_0_50_colocResults_0.csv",329,0,4,0,0.987987987987988,1,"0.50",23
"24","group/Output/KO_Pair2_L2R2_1-3_0_75_colocResults_0.csv",276,0,57,0,0.828828828828829,1,"0.75",24
"25","group/Output/KO_Pair2_L2R2_1-3_1_00_colocResults_0.csv",231,19,102,0,0.693693693693694,0.924,"1.00",25
"26","group/Output/KO_Pair2_L2R3_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",26
"27","group/Output/KO_Pair2_L2R3_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",27
"28","group/Output/KO_Pair2_L2R3_1-3_0_50_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.50",28
"29","group/Output/KO_Pair2_L2R3_1-3_0_75_colocResults_0.csv",321,0,12,0,0.963963963963964,1,"0.75",29
"30","group/Output/KO_Pair2_L2R3_1-3_1_00_colocResults_0.csv",287,14,46,0,0.861861861861862,0.953488372093023,"1.00",30
"31","group/Output/KO_Pair3_L2R1_1-3_0_00_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.00",31
"32","group/Output/KO_Pair3_L2R1_1-3_0_25_colocResults_0.csv",251,1,82,0,0.753753753753754,0.996031746031746,"0.25",32
"33","group/Output/KO_Pair3_L2R1_1-3_0_50_colocResults_0.csv",195,5,138,0,0.585585585585586,0.975,"0.50",33
"34","group/Output/KO_Pair3_L2R1_1-3_0_75_colocResults_0.csv",184,46,149,0,0.552552552552553,0.8,"0.75",34
"35","group/Output/KO_Pair3_L2R1_1-3_1_00_colocResults_0.csv",146,154,187,0,0.438438438438438,0.486666666666667,"1.00",35
"36","group/Output/KO_Pair3_L2R2_1-3_0_00_colocResults_0.csv",132,66,201,0,0.396396396396396,0.666666666666667,"0.00",36
"37","group/Output/KO_Pair3_L2R2_1-3_0_25_colocResults_0.csv",124,66,209,0,0.372372372372372,0.652631578947368,"0.25",37
"38","group/Output/KO_Pair3_L2R2_1-3_0_50_colocResults_0.csv",89,66,244,0,0.267267267267267,0.574193548387097,"0.50",38
"39","group/Output/KO_Pair3_L2R2_1-3_0_75_colocResults_0.csv",76,66,257,0,0.228228228228228,0.535211267605634,"0.75",39
"40","group/Output/KO_Pair3_L2R2_1-3_1_00_colocResults_0.csv",61,81,272,0,0.183183183183183,0.429577464788732,"1.00",40
"41","group/Output/KO_Pair3_L2R3_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",41
"42","group/Output/KO_Pair3_L2R3_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",42
"43","group/Output/KO_Pair3_L2R3_1-3_0_50_colocResults_0.csv",267,0,66,0,0.801801801801802,1,"0.50",43
"44","group/Output/KO_Pair3_L2R3_1-3_0_75_colocResults_0.csv",259,0,74,0,0.777777777777778,1,"0.75",44
"45","group/Output/KO_Pair3_L2R3_1-3_1_00_colocResults_0.csv",215,6,118,0,0.645645645645646,0.972850678733032,"1.00",45
"46","group/Output/KO_Pair3_L2R3_13-15_0_00_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.00",46
"47","group/Output/KO_Pair3_L2R3_13-15_0_25_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.25",47
"48","group/Output/KO_Pair3_L2R3_13-15_0_50_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.50",48
"49","group/Output/KO_Pair3_L2R3_13-15_0_75_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.75",49
"50","group/Output/KO_Pair3_L2R3_13-15_1_00_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"1.00",50
"51","group/Output/WT_Pair1_L2R1_1-3_0_00_colocResults_0.csv",133,66,200,0,0.399399399399399,0.668341708542714,"0.00",51
"52","group/Output/WT_Pair1_L2R1_1-3_0_25_colocResults_0.csv",135,66,198,0,0.405405405405405,0.671641791044776,"0.25",52
"53","group/Output/WT_Pair1_L2R1_1-3_0_50_colocResults_0.csv",153,67,180,0,0.459459459459459,0.695454545454545,"0.50",53
"54","group/Output/WT_Pair1_L2R1_1-3_0_75_colocResults_0.csv",166,33,167,0,0.498498498498498,0.834170854271357,"0.75",54
"55","group/Output/WT_Pair1_L2R1_1-3_1_00_colocResults_0.csv",113,140,220,0,0.339339339339339,0.446640316205534,"1.00",55
"56","group/Output/WT_Pair1_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",56
"57","group/Output/WT_Pair1_L2R2_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",57
"58","group/Output/WT_Pair1_L2R2_1-3_0_50_colocResults_0.csv",328,2,5,0,0.984984984984985,0.993939393939394,"0.50",58
"59","group/Output/WT_Pair1_L2R2_1-3_0_75_colocResults_0.csv",277,22,56,0,0.831831831831832,0.926421404682274,"0.75",59
"60","group/Output/WT_Pair1_L2R2_1-3_1_00_colocResults_0.csv",201,148,132,0,0.603603603603604,0.575931232091691,"1.00",60
"61","group/Output/WT_Pair1_L2R3_1-3_0_00_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.00",61
"62","group/Output/WT_Pair1_L2R3_1-3_0_25_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.25",62
"63","group/Output/WT_Pair1_L2R3_1-3_0_50_colocResults_0.csv",265,1,68,0,0.795795795795796,0.996240601503759,"0.50",63
"64","group/Output/WT_Pair1_L2R3_1-3_0_75_colocResults_0.csv",238,10,95,0,0.714714714714715,0.959677419354839,"0.75",64
"65","group/Output/WT_Pair1_L2R3_1-3_1_00_colocResults_0.csv",195,164,138,0,0.585585585585586,0.543175487465181,"1.00",65
"66","group/Output/WT_Pair2_L2R1_1-3_0_00_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.00",66
"67","group/Output/WT_Pair2_L2R1_1-3_0_25_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.25",67
"68","group/Output/WT_Pair2_L2R1_1-3_0_50_colocResults_0.csv",266,0,67,0,0.798798798798799,1,"0.50",68
"69","group/Output/WT_Pair2_L2R1_1-3_0_75_colocResults_0.csv",265,8,68,0,0.795795795795796,0.970695970695971,"0.75",69
"70","group/Output/WT_Pair2_L2R1_1-3_1_00_colocResults_0.csv",252,84,81,0,0.756756756756757,0.75,"1.00",70
"71","group/Output/WT_Pair2_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",71
"72","group/Output/WT_Pair2_L2R2_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",72
"73","group/Output/WT_Pair2_L2R2_1-3_0_50_colocResults_0.csv",329,3,4,0,0.987987987987988,0.990963855421687,"0.50",73
"74","group/Output/WT_Pair2_L2R2_1-3_0_75_colocResults_0.csv",328,4,5,0,0.984984984984985,0.987951807228916,"0.75",74
"75","group/Output/WT_Pair2_L2R2_1-3_1_00_colocResults_0.csv",280,58,53,0,0.840840840840841,0.828402366863905,"1.00",75
"76","group/Output/WT_Pair2_L2R3_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",76
"77","group/Output/WT_Pair2_L2R3_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",77
"78","group/Output/WT_Pair2_L2R3_1-3_0_50_colocResults_0.csv",317,0,16,0,0.951951951951952,1,"0.50",78
"79","group/Output/WT_Pair2_L2R3_1-3_0_75_colocResults_0.csv",225,23,108,0,0.675675675675676,0.907258064516129,"0.75",79
"80","group/Output/WT_Pair2_L2R3_1-3_1_00_colocResults_0.csv",168,81,165,0,0.504504504504504,0.674698795180723,"1.00",80
"81","group/Output/WT_Pair3_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",81
"82","group/Output/WT_Pair3_L2R2_1-3_0_25_colocResults_0.csv",273,59,60,0,0.81981981981982,0.822289156626506,"0.25",82
"83","group/Output/WT_Pair3_L2R2_1-3_0_50_colocResults_0.csv",270,56,63,0,0.810810810810811,0.828220858895706,"0.50",83
"84","group/Output/WT_Pair3_L2R2_1-3_0_75_colocResults_0.csv",271,91,62,0,0.813813813813814,0.748618784530387,"0.75",84
"85","group/Output/WT_Pair3_L2R2_1-3_1_00_colocResults_0.csv",211,226,122,0,0.633633633633634,0.482837528604119,"1.00",85
"86","group/Output/WT_Pair3_L2R2_13-15_0_00_colocResults_0.csv",199,133,134,0,0.597597597597598,0.599397590361446,"0.00",86
"87","group/Output/WT_Pair3_L2R2_13-15_0_25_colocResults_0.csv",198,134,135,0,0.594594594594595,0.596385542168675,"0.25",87
"88","group/Output/WT_Pair3_L2R2_13-15_0_50_colocResults_0.csv",198,124,135,0,0.594594594594595,0.614906832298137,"0.50",88
"89","group/Output/WT_Pair3_L2R2_13-15_0_75_colocResults_0.csv",175,102,158,0,0.525525525525526,0.631768953068592,"0.75",89
"90","group/Output/WT_Pair3_L2R2_13-15_1_00_colocResults_0.csv",103,165,230,0,0.309309309309309,0.384328358208955,"1.00",90
"91","group/Output/WT_Pair3_L2R6_1-3_0_00_colocResults_0.csv",265,0,68,0,0.795795795795796,1,"0.00",91
"92","group/Output/WT_Pair3_L2R6_1-3_0_25_colocResults_0.csv",265,2,68,0,0.795795795795796,0.99250936329588,"0.25",92
"93","group/Output/WT_Pair3_L2R6_1-3_0_50_colocResults_0.csv",246,23,87,0,0.738738738738739,0.91449814126394,"0.50",93
"94","group/Output/WT_Pair3_L2R6_1-3_0_75_colocResults_0.csv",116,100,217,0,0.348348348348348,0.537037037037037,"0.75",94
"95","group/Output/WT_Pair3_L2R6_1-3_1_00_colocResults_0.csv",83,123,250,0,0.249249249249249,0.402912621359223,"1.00",95
"96","group/Output/WT_Pair3_L2R6_13-15_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",96
"97","group/Output/WT_Pair3_L2R6_13-15_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",97
"98","group/Output/WT_Pair3_L2R6_13-15_0_50_colocResults_0.csv",324,8,9,0,0.972972972972973,0.975903614457831,"0.50",98
"99","group/Output/WT_Pair3_L2R6_13-15_0_75_colocResults_0.csv",309,29,24,0,0.927927927927928,0.914201183431953,"0.75",99
"100","group/Output/WT_Pair3_L2R6_13-15_1_00_colocResults_0.csv",235,90,98,0,0.705705705705706,0.723076923076923,"1.00",100
