Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_50.tif,1000,802,801,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_75.tif,860,404,403,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_1_00.tif,800,205,168,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_25.tif,1026,1198,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_50.tif,1000,831,652,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_75.tif,964,512,326,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_1_00.tif,445,180,38,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_50.tif,1011,596,596,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_75.tif,1030,349,209,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_1_00.tif,476,43,0,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_25.tif,1000,1200,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
