Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,14,255,30,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,19,255,35,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_50.tif,1023,1006,1000,0,31,255,52,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_75.tif,1055,918,844,0,45,255,70,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_1_00.tif,1050,622,333,0,60,255,88,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_00.tif,1000,1200,999,0,19,255,70,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_25.tif,1000,1200,999,0,26,255,66,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_50.tif,1016,1200,999,0,39,255,62,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_75.tif,1108,1170,982,0,56,255,63,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_1_00.tif,1209,969,598,0,70,255,75,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_00.tif,1000,1200,999,0,30,255,73,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_25.tif,1000,1188,1029,0,34,255,67,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_50.tif,1002,1119,1019,0,44,255,63,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_75.tif,1116,991,1025,0,60,255,69,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_1_00.tif,1260,706,409,0,74,255,84,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_00.tif,1000,1200,999,0,15,255,75,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_25.tif,1000,1200,999,0,18,255,71,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_50.tif,1002,1256,973,0,23,255,68,255,4,4,1,pixels
