Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_50.tif,1000,1000,996,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_75.tif,1000,1448,919,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_1_00.tif,989,4800,679,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_00.tif,1000,1200,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_25.tif,993,1113,721,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_50.tif,940,958,562,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_75.tif,922,2003,577,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_1_00.tif,2382,5292,995,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_25.tif,999,1000,998,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_50.tif,935,1006,934,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_75.tif,900,3676,838,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_1_00.tif,983,5398,616,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_00.tif,1000,1200,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_25.tif,1000,1186,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_50.tif,1000,1159,800,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_75.tif,1000,1216,805,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_1_00.tif,1000,2400,825,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_50.tif,1000,992,991,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_75.tif,1000,848,838,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_1_00.tif,1000,2126,725,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_50.tif,1000,1000,997,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_75.tif,1000,999,971,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_1_00.tif,1000,1773,871,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_00.tif,1200,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_25.tif,1200,981,764,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_50.tif,1200,994,601,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_75.tif,1201,2231,608,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_1_00.tif,1201,5688,584,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_00.tif,1000,1000,599,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_25.tif,1000,975,574,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_50.tif,1000,866,465,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_75.tif,998,835,424,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_1_00.tif,991,1700,370,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_50.tif,1000,800,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_75.tif,1000,775,774,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_1_00.tif,1000,945,645,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_00.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_25.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_50.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_75.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_1_00.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,599,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_25.tif,1021,1000,624,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_50.tif,1071,996,675,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_75.tif,1045,1605,583,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_1_00.tif,1058,4976,438,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_50.tif,1000,999,998,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_75.tif,981,1289,862,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_1_00.tif,1037,4552,731,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_00.tif,1200,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_25.tif,1130,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_50.tif,1054,994,804,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_75.tif,1117,754,732,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_1_00.tif,3635,1268,707,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_00.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_25.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_50.tif,1000,999,800,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_75.tif,1000,1520,795,0,0,0,0,0,4,4,1,pixels
