Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_50.tif,970,999,968,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_75.tif,826,916,808,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_1_00.tif,722,946,495,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_00.tif,1200,1000,1199,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_25.tif,1006,1000,1001,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_50.tif,995,1000,994,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_75.tif,796,997,790,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_1_00.tif,363,879,199,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_25.tif,1023,1000,1021,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_50.tif,1084,982,990,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_75.tif,881,781,730,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_1_00.tif,510,876,475,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
