Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_50.tif,1000,1186,996,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_0_75.tif,1020,5340,961,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_sim_1_00.tif,2811,5970,1237,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_00.tif,1000,1200,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_25.tif,993,1113,721,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_50.tif,942,1484,562,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_0_75.tif,3044,5455,1138,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_sim_1_00.tif,5824,5883,1862,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_25.tif,999,1000,998,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_50.tif,935,2942,935,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_0_75.tif,1125,5726,904,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_sim_1_00.tif,4201,5845,1477,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_00.tif,1000,1200,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_25.tif,1000,1186,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_50.tif,1000,1163,800,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_0_75.tif,1000,3298,807,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_sim_1_00.tif,1000,5945,827,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_50.tif,1000,993,991,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_0_75.tif,1000,3012,932,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_sim_1_00.tif,1000,5563,793,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_50.tif,1000,1000,997,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_0_75.tif,1000,2694,971,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_sim_1_00.tif,1000,5596,875,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_00.tif,1200,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_25.tif,1200,981,764,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_50.tif,1200,1763,613,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_0_75.tif,1251,5731,667,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_sim_1_00.tif,3319,6254,1243,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_00.tif,1000,1000,599,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_25.tif,1000,983,582,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_50.tif,1000,873,471,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_0_75.tif,1002,2536,441,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_sim_1_00.tif,1606,5442,604,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_50.tif,1000,998,997,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_0_75.tif,1000,1751,920,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_sim_1_00.tif,1143,4973,853,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_00.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_25.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_50.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_0_75.tif,1000,1004,799,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_sim_1_00.tif,1005,1790,801,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_00.tif,1000,1000,599,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_25.tif,1021,1000,624,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_50.tif,1071,1478,681,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_0_75.tif,1258,5590,794,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_sim_1_00.tif,4274,6018,1431,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_00.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_25.tif,1000,1000,999,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_50.tif,1000,1184,999,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_0_75.tif,1595,5326,1104,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_sim_1_00.tif,4811,6066,1807,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_00.tif,1200,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_25.tif,1130,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_50.tif,1091,999,800,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_0_75.tif,4409,2158,1046,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_sim_1_00.tif,5985,5489,1956,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_00.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_25.tif,1000,1000,799,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_50.tif,1000,1278,801,0,0,0,0,0,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_sim_0_75.tif,1000,5170,810,0,0,0,0,0,4,4,1,pixels
