Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_50.tif,661,665,328,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_75.tif,553,630,267,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_1_00.tif,499,811,192,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_00.tif,800,666,398,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_25.tif,672,666,333,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_50.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_75.tif,530,664,258,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_1_00.tif,225,609,58,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_25.tif,675,666,337,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_50.tif,730,654,326,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_75.tif,588,540,242,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_1_00.tif,325,710,157,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_50.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_75.tif,667,676,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_1_00.tif,667,865,337,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_50.tif,667,642,322,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_75.tif,667,571,282,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_1_00.tif,667,605,242,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_50.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_75.tif,667,662,329,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_1_00.tif,667,722,303,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_00.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_25.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_50.tif,667,666,332,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_75.tif,668,654,299,0,0.500,1.000E30,0.500,1.000E30,4,4,1,pixels
