Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,2,255,13,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_25.tif,736,673,332,0,15,255,25,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_50.tif,791,730,336,0,29,255,47,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_75.tif,799,723,294,0,43,255,68,255,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_1_00.tif,809,608,117,0,58,255,87,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_00.tif,667,666,332,0,10,255,23,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_25.tif,695,666,333,0,19,255,27,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_50.tif,768,670,335,0,36,255,42,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_75.tif,801,832,337,0,53,255,59,255,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_1_00.tif,869,768,200,0,70,255,74,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,15,255,24,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_25.tif,668,666,332,0,21,255,30,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_50.tif,710,677,334,0,38,255,49,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_75.tif,755,747,336,0,55,255,66,255,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_1_00.tif,948,686,163,0,72,255,83,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_00.tif,667,666,332,0,2,255,24,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_25.tif,691,666,332,0,11,255,29,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_50.tif,698,675,331,0,21,255,46,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_75.tif,771,928,316,0,30,255,66,255,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_1_00.tif,782,990,277,0,40,255,83,255,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_00.tif,667,666,332,0,2,255,14,255,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_25.tif,684,667,332,0,10,255,23,255,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_50.tif,694,701,335,0,19,255,41,255,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_75.tif,723,713,336,0,28,255,60,255,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_1_00.tif,735,737,264,0,37,255,76,255,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_00.tif,667,666,332,0,2,255,13,255,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_25.tif,705,680,334,0,9,255,21,255,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_50.tif,708,719,333,0,17,255,39,255,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_75.tif,728,765,351,0,25,255,58,255,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_1_00.tif,747,865,327,0,33,255,74,255,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_00.tif,667,666,332,0,27,255,16,255,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_25.tif,667,670,333,0,31,255,27,255,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_50.tif,669,717,334,0,41,255,50,255,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_0_75.tif,679,844,332,0,58,255,72,255,4,4,1,pixels
Output\KO_Pair3_L2R1_1-3_1_00.tif,829,697,136,0,73,255,92,255,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_0_00.tif,667,666,332,0,15,255,27,255,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_0_25.tif,667,666,332,0,20,255,32,255,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_0_50.tif,686,668,333,0,33,255,46,255,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_0_75.tif,691,675,314,0,48,255,63,255,4,4,1,pixels
Output\KO_Pair3_L2R2_1-3_1_00.tif,731,815,204,0,62,255,78,255,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_0_00.tif,667,666,332,0,3,255,17,255,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_0_25.tif,690,666,333,0,15,255,27,255,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_0_50.tif,701,680,333,0,29,255,47,255,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_0_75.tif,760,633,288,0,42,255,66,255,4,4,1,pixels
Output\KO_Pair3_L2R3_1-3_1_00.tif,754,532,204,0,56,255,85,255,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_0_00.tif,0,666,0,0,0,255,17,255,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_0_25.tif,780,666,335,0,11,255,22,255,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_0_50.tif,724,673,332,0,23,255,33,255,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_0_75.tif,828,689,338,0,33,255,48,255,4,4,1,pixels
Output\KO_Pair3_L2R3_13-15_1_00.tif,803,787,287,0,44,255,62,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,26,255,13,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_25.tif,667,694,333,0,30,255,29,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_50.tif,667,719,326,0,39,255,56,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_0_75.tif,681,733,214,0,54,255,79,255,4,4,1,pixels
Output\WT_Pair1_L2R1_1-3_1_00.tif,899,572,143,0,67,255,104,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_00.tif,667,666,332,0,11,255,12,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_25.tif,672,711,333,0,19,255,27,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_50.tif,738,739,337,0,34,255,53,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_0_75.tif,789,718,278,0,50,255,76,255,4,4,1,pixels
Output\WT_Pair1_L2R2_1-3_1_00.tif,840,747,256,0,66,255,99,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,13,255,13,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_25.tif,668,672,332,0,22,255,24,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_50.tif,720,704,337,0,39,255,45,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_0_75.tif,752,744,333,0,57,255,66,255,4,4,1,pixels
Output\WT_Pair1_L2R3_1-3_1_00.tif,867,603,201,0,74,255,85,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_0_00.tif,667,666,332,0,3,255,26,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_0_25.tif,688,666,332,0,13,255,32,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_0_50.tif,698,677,334,0,25,255,50,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_0_75.tif,717,723,336,0,37,255,70,255,4,4,1,pixels
Output\WT_Pair2_L2R1_1-3_1_00.tif,717,695,213,0,49,255,89,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_0_00.tif,667,666,332,0,2,255,17,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_0_25.tif,673,667,332,0,12,255,27,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_0_50.tif,687,688,332,0,22,255,50,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_0_75.tif,706,804,362,0,32,255,72,255,4,4,1,pixels
Output\WT_Pair2_L2R2_1-3_1_00.tif,748,698,210,0,42,255,92,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_0_00.tif,0,666,0,0,0,255,12,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_0_25.tif,682,695,333,0,13,255,28,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_0_50.tif,715,759,332,0,25,255,54,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_0_75.tif,800,862,256,0,36,255,78,255,4,4,1,pixels
Output\WT_Pair2_L2R3_1-3_1_00.tif,802,657,131,0,48,255,103,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_0_00.tif,667,666,332,0,27,255,12,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_0_25.tif,667,688,333,0,32,255,23,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_0_50.tif,671,744,333,0,45,255,44,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_0_75.tif,729,813,323,0,62,255,64,255,4,4,1,pixels
Output\WT_Pair3_L2R2_1-3_1_00.tif,857,700,155,0,78,255,82,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_0_00.tif,667,666,332,0,17,255,3,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_0_25.tif,667,702,336,0,25,255,23,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_0_50.tif,672,769,333,0,40,255,44,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_0_75.tif,729,771,331,0,57,255,65,255,4,4,1,pixels
Output\WT_Pair3_L2R2_13-15_1_00.tif,808,646,132,0,73,255,84,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_0_00.tif,667,666,332,0,10,255,9,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_0_25.tif,671,747,333,0,20,255,34,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_0_50.tif,727,783,324,0,37,255,67,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_0_75.tif,736,582,140,0,55,255,96,255,4,4,1,pixels
Output\WT_Pair3_L2R6_1-3_1_00.tif,824,579,71,0,71,255,121,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_0_00.tif,667,666,332,0,10,255,15,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_0_25.tif,668,673,332,0,16,255,25,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_0_50.tif,702,704,333,0,28,255,47,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_0_75.tif,722,784,335,0,41,255,68,255,4,4,1,pixels
Output\WT_Pair3_L2R6_13-15_1_00.tif,729,768,235,0,54,255,87,255,4,4,1,pixels
