Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_25.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_50.tif,667,666,331,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_75.tif,667,1146,319,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_1_00.tif,666,4529,284,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_00.tif,667,799,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_25.tif,666,747,238,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_50.tif,637,642,189,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_75.tif,623,1716,198,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_1_00.tif,2153,5157,656,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_25.tif,666,666,331,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_50.tif,628,669,313,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_75.tif,602,3390,330,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_1_00.tif,696,5349,306,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_00.tif,667,799,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_25.tif,667,793,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_50.tif,667,761,267,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_75.tif,667,821,269,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_1_00.tif,667,2129,301,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_25.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_50.tif,667,660,329,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_75.tif,667,572,276,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_1_00.tif,667,1823,250,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R3_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
