Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\KO_Pair1_L2R1_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_25.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_50.tif,667,893,335,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_0_75.tif,685,5056,377,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R1_1-3_1_00.tif,2495,5895,822,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_00.tif,667,799,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_25.tif,666,747,238,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_50.tif,638,1254,202,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_0_75.tif,2881,5245,846,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R2_1-3_1_00.tif,5776,5735,1671,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_25.tif,666,666,331,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_50.tif,628,2713,357,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_0_75.tif,855,5644,435,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair1_L2R3_1-3_1_00.tif,4157,5799,1270,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_00.tif,667,799,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_25.tif,667,793,266,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_50.tif,667,763,267,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_0_75.tif,667,3050,309,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R1_1-3_1_00.tif,667,5853,365,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_00.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_25.tif,667,666,332,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_50.tif,667,665,329,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_0_75.tif,667,2856,356,0,0,0,0,0,4,4,1,pixels
Output\KO_Pair2_L2R2_1-3_1_00.tif,667,5508,334,0,0,0,0,0,4,4,1,pixels
