"","X.1","Label","Area","Mean","StdDev","X","Y","XM","YM","BX","BY","Width","Height","Circ.","IntDen","RawIntDen","AR","Round","Solidity","Image"
"1",1,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",32,255,0,338.281,216.062,338.281,216.062,335,212,6,8,0.82,8160,8160,1.601,0.625,0.842,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"2",2,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",12,255,0,763.833,348.417,763.833,348.417,762,346,4,4,0.967,3060,3060,1.218,0.821,0.889,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"3",3,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",1,255,0,767.5,352.5,767.5,352.5,767,352,1,1,1,255,255,1,1,1,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"4",4,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",1,255,0,453.5,484.5,453.5,484.5,453,484,1,1,1,255,255,1,1,1,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"5",5,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",17,255,0,519.265,491.794,519.265,491.794,517,489,5,5,0.985,4335,4335,1.138,0.878,0.829,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"6",6,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",8,255,0,476.5,551,476.5,551,475,549,3,4,0.914,2040,2040,1.195,0.837,0.8,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"7",7,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared.tiff_colocs",3,255,0,464.167,583.833,464.167,583.833,463,583,2,2,1,765,765,1.464,0.683,0.857,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_colocResults_0.csv"
"8",1,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared.tiff_colocs",17,255,0,338.5,217.147,338.5,217.147,336,215,5,5,0.911,4335,4335,1.371,0.729,0.829,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared_colocResults_0.csv"
"9",2,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared.tiff_colocs",1,255,0,353.5,289.5,353.5,289.5,353,289,1,1,1,255,255,1,1,1,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared_colocResults_0.csv"
"10",3,"Output\240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared.tiff_colocs",41,255,0,765.012,350.671,765.012,350.671,761,346,9,9,0.467,10455,10455,2.042,0.49,0.678,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-2_nuc_cleared_colocResults_0.csv"
