"","X.1","Label","Area","Mean","StdDev","X","Y","XM","YM","BX","BY","Width","Height","Circ.","IntDen","RawIntDen","AR","Round","Solidity","Image"
"1",1,"red_thresholded",10,255,0,294.7,34.8,294.7,34.8,293,33,4,4,0.982,2550,2550,1.491,0.67,0.8,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"2",2,"red_thresholded",12,255,0,312.167,67.75,312.167,67.75,310,66,4,4,1,3060,3060,1.135,0.881,0.857,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"3",3,"red_thresholded",12,255,0,200,78.333,200,78.333,198,76,4,5,0.851,3060,3060,1.2,0.833,0.774,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"4",4,"red_thresholded",12,255,0,340.667,84.583,340.667,84.583,338,83,5,3,0.967,3060,3060,1.579,0.633,0.889,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"5",5,"red_thresholded",10,255,0,311.7,102.9,311.7,102.9,310,101,4,4,0.887,2550,2550,1.216,0.823,0.769,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"6",6,"red_thresholded",11,255,0,877.864,187.409,877.864,187.409,876,186,4,3,1,2805,2805,1.372,0.729,0.957,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"7",7,"red_thresholded",10,255,0,180.1,198.3,180.1,198.3,178,196,4,4,0.887,2550,2550,1.216,0.823,0.769,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"8",8,"red_thresholded",11,255,0,643.318,204.682,643.318,204.682,641,203,4,4,0.976,2805,2805,1.035,0.966,0.846,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"9",9,"red_thresholded",59,255,0,337.178,214.246,337.178,214.246,333,209,8,11,0.722,15045,15045,1.505,0.664,0.819,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
"10",10,"red_thresholded",13,255,0,216.269,227.423,216.269,227.423,214,225,5,4,0.846,3315,3315,1.271,0.786,0.812,"Group/Output/240320_DAPI_LC3B 568_p62 647_ALDH1L1-GFP_GS_100X_2X_1_oir_cropped_inside_tif_corrected-1_nuc_cleared_redResults_0.csv"
